region,bracket,guid,name,server,faction,class,spec,race,rating,ranking,wins,losses,winrate
US,5v5,75536343,Harloww,Nightslayer,Horde,Warrior,,Tauren,2161,1013,81,60,57
US,5v5,45454950,Wusai,Dreamscythe,Alliance,Warrior,Arms,Human,2157,1035,92,73,56
US,5v5,77847614,Xyvxv,Nightslayer,Alliance,Rogue,Subtlety,Human,2152,1042,108,98,52
US,5v5,74410067,Hotsinglemom,Nightslayer,Alliance,Mage,Arcane,Gnome,2149,1051,43,20,68
US,5v5,78556715,Ryordan,Nightslayer,Alliance,Priest,Discipline,Dwarf,2143,1061,89,62,59
US,5v5,59807254,Hgx,Nightslayer,Horde,Hunter,Beast Mastery,Orc,2142,1064,58,33,64
US,5v5,74003518,Wuwuwemon,Nightslayer,Alliance,Shaman,Elemental,Draenei,2139,1070,79,39,67
US,5v5,64450967,Yellowhat,Nightslayer,Alliance,Rogue,Subtlety,Human,2137,1077,79,67,54
US,5v5,62197018,Gardylol,Nightslayer,Horde,Priest,Discipline,Undead,2134,1081,127,106,55
US,5v5,77729059,Pizazza,Nightslayer,Alliance,Priest,Discipline,Dwarf,2127,1099,202,127,61
US,5v5,72268620,Båbárógâ,Nightslayer,Alliance,Rogue,Subtlety,Human,2125,1113,54,22,71
US,5v5,79382277,Yunshoota,Nightslayer,Alliance,Shaman,Elemental,Draenei,2121,1126,71,45,61
US,5v5,74199931,Numberonex,Nightslayer,Horde,,,,2115,1150,287,127,69
US,5v5,79572372,Devilsdance,Nightslayer,Alliance,Warrior,Arms,Dwarf,2112,1166,51,27,65
US,5v5,78551252,Kinkysblue,Nightslayer,Horde,Shaman,Enhancement,Orc,2103,1207,249,188,57
US,5v5,44630928,Skatjay,Dreamscythe,Alliance,Druid,Restoration,Night Elf,2101,1217,65,53,55
US,5v5,51720821,Dummydummys,Dreamscythe,Alliance,Priest,Holy,Human,2096,1233,168,133,56
US,5v5,55866927,Babun,Nightslayer,Alliance,Mage,Frost,Gnome,2090,1258,49,10,83
US,5v5,59255925,Tektiny,Nightslayer,Alliance,Warrior,Fury,Human,2085,1285,73,52,58
US,5v5,73385188,Tekret,Nightslayer,Alliance,Paladin,Retribution,Human,2084,1296,66,51,56
